id;title;genre;duration;release_date
1;unhealthy conventional sanction;fine anenst after;30600;2024-07-31
2;joyous;seriously species;16888;2024-08-01
3;mend;whereas woot;4629;2024-08-01
4;absent;ah resign sinful;9479;2024-08-01
5;drat or;brr;32023;2024-07-31
6;nor phooey;knowledgeably pennant;17650;2024-08-01
7;timely;severe estimate infantilise;13525;2024-07-31
8;absent hm externalise;eagle;23917;2024-08-01
9;horn vivaciously until;whose;401;2024-08-01
10;obnoxiously merrily;agenda knowledgeable athwart;18392;2024-07-31
